Informe de grupos de recursos
1 de abril de 2026 - 30 de abril de 2026
Estado de grupos de recursos,Grupo de recursos,Campaña,Título,Títulos largos,Descripción,Imágenes de marketing,imágenes de marketing cuadradas,Imágenes de marketing verticales,Calidad del anuncio,Estado,Indicador de público,Temas de búsqueda,Código de moneda,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Valor de conv.,Valor de conv./costo,Porcentaje de conv.,Conversiones,Costo/conv.
PAUSED,Aires,Pmax -  TV Promo Pasionista,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio en Inverfin. ¡Consultá por tu BTU!, Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/9407200970874412065,https://tpc.googlesyndication.com/simgad/9503729606757177446, --,Promedio,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,TECNOLOGÍA DÍA DE LA MADRE 2026,Pmax -  TV Promo Pasionista,"Tecnología Ofertas, Tech en Promo Día de la Madre, Ofertas Imperdibles para Mamá, Inverfin Tecnología, Equipate en Inverfin, Inverfin Promos, Tecnología con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Ahorro en Tecnología, Inverfín - Día de la Madre","Comprá hoy y disfrutá todo el año. Ahorrá en Inverfín y regalá a mamá., Promo en celulares, tablets, informática y wearables con hasta 12 cuotas sin interés., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras., Marcas destacadas en smartwatch, celulares, notebooks, tablets, TVs y más con descuentos, Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/2797894110537245028, https://tpc.googlesyndication.com/simgad/2644524062825311344","https://tpc.googlesyndication.com/simgad/14927059819855506950, https://tpc.googlesyndication.com/simgad/5088813788534659297, https://tpc.googlesyndication.com/simgad/16771358240621071550, https://tpc.googlesyndication.com/simgad/6200342517153925150, https://tpc.googlesyndication.com/simgad/9101938421610481132, https://tpc.googlesyndication.com/simgad/7689003874671348956, https://tpc.googlesyndication.com/simgad/6816782731648727820",https://tpc.googlesyndication.com/simgad/18373458182455532514,Promedio,Detenida,TECNOLOGÍA, --,USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,TECNOLOGÍA HOTSALE 2026,Pmax -  TV Promo Pasionista,"Tecnología: Ofertas de Hotsale, Tech en Promo Hotsale, Ofertas Imperdibles en Hotsale, Inverfin Tecnología, Equipate en Inverfin, Inverfin Hotsale, Tecnología Hasta 50% Off, Aprovechá Ofertas de Hotsale, Inverfin, tu espacio, Ahorro en Tecnología","Comprá hoy y disfrutá todo el año. No te pierdas hasta 50% Off en el Hotsale de Inverfín., Celulares, tablets, informática y wearables con hasta 12 cuotas sin interés y 50% Off., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio en Hotsale y servicio post venta garantizado., Descuentos y Envío gratis en todas tus compras. Es ahora o nunca, Marcas destacadas en smartwatch, celulares, notebooks, tablets, TVs y más con descuentos, Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/4390304480334900218, https://tpc.googlesyndication.com/simgad/8141479515515927748, https://tpc.googlesyndication.com/simgad/8661408447299355594","https://tpc.googlesyndication.com/simgad/11989592165675907184, https://tpc.googlesyndication.com/simgad/7203495006846005245, https://tpc.googlesyndication.com/simgad/2652432844983081985, https://tpc.googlesyndication.com/simgad/11828034587447740550","https://tpc.googlesyndication.com/simgad/12609086529878414252, https://tpc.googlesyndication.com/simgad/8248365945428708447, https://tpc.googlesyndication.com/simgad/4088548380889304729, https://tpc.googlesyndication.com/simgad/14867209215314157537",Deficiente,Detenida,TECNOLOGÍA, --,USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,AIRES PROMO VERANO 2026,Pmax -  TV Promo Pasionista,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio e instalación gratis., Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/15506935217314863925,"https://tpc.googlesyndication.com/simgad/14776623944931414437, https://tpc.googlesyndication.com/simgad/14797740728390896541, https://tpc.googlesyndication.com/simgad/6195314396039295693, https://tpc.googlesyndication.com/simgad/270192571709459708", --,Deficiente,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,TECNOLOGÍA ABRIL 2026,Pmax -  TV Promo Pasionista,"Tecnología Ofertas, Tech en Promo, Ofertas Imperdibles, Inverfin Tecnología, Equipate en Inverfin, Inverfin Promos, Tecnología con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Ahorro en Tecnología","Comprá hoy y disfrutá todo el año., Promo en celulares, tablets, informática y wearables con hasta 12 cuotas sin interés., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras., Marcas destacadas en smartwatch, celulares, notebooks, tablets, TVs y más con descuentos, Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/4016412841220468681, https://tpc.googlesyndication.com/simgad/4390304480334900218","https://tpc.googlesyndication.com/simgad/13785938228166939656, https://tpc.googlesyndication.com/simgad/11989592165675907184",https://tpc.googlesyndication.com/simgad/11934766702284589250,Deficiente,Detenida,TECNOLOGÍA, --,USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,TECNOLOGÍA HOTSALE 2026,Pmax -  Tecnología,"Tecnología: Ofertas de Hotsale, Tech en Promo Hotsale, Ofertas Imperdibles en Hotsale, Inverfin Tecnología, Equipate en Inverfin, Inverfin Hotsale, Tecnología Hasta 50% Off, Aprovechá Ofertas de Hotsale, Inverfin, tu espacio, Ahorro en Tecnología","Comprá hoy y disfrutá todo el año. No te pierdas hasta 50% Off en el Hotsale de Inverfín., Celulares, tablets, informática y wearables con hasta 12 cuotas sin interés y 50% Off., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio en Hotsale y servicio post venta garantizado., Descuentos y Envío gratis en todas tus compras. Es ahora o nunca, Marcas destacadas en smartwatch, celulares, notebooks, tablets, TVs y más con descuentos, Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/4390304480334900218, https://tpc.googlesyndication.com/simgad/8141479515515927748, https://tpc.googlesyndication.com/simgad/8661408447299355594","https://tpc.googlesyndication.com/simgad/11989592165675907184, https://tpc.googlesyndication.com/simgad/7203495006846005245, https://tpc.googlesyndication.com/simgad/2652432844983081985, https://tpc.googlesyndication.com/simgad/11828034587447740550","https://tpc.googlesyndication.com/simgad/12609086529878414252, https://tpc.googlesyndication.com/simgad/8248365945428708447, https://tpc.googlesyndication.com/simgad/4088548380889304729, https://tpc.googlesyndication.com/simgad/14867209215314157537",Promedio,Detenida,TECNOLOGÍA, --,USD,1.08,"107,221","7,168",6.69%,0.02,115.65,145.93,1.26,0.01%,1.00,115.65
PAUSED,Aires,Pmax -  Tecnología,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio en Inverfin. ¡Consultá por tu BTU!, Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/9407200970874412065,https://tpc.googlesyndication.com/simgad/9503729606757177446, --,Promedio,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
ENABLED,MOTOS TAIGA ABRIL 2026,Pmax - Motos Taiga,"Taiga: Tu Próxima Moto Hoy, Consultá Precios por WhatsApp, Taiga TL 110 en Oferta PY, Motos Taiga: Entrega Rápida, Comprá tu Moto en Inverfin, Todos los Modelos, Precios Imperdibles, Todo en Motos Taiga, Taiga en Promo, Date el gusto con Taiga, Te asesoramos","Motos Taiga. Precio y Financiación Exclusiva en Paraguay!, Consultá la Taiga TL 110 y TL Maxi: Stock y Asesoramiento Personal por WhatsApp., La Mejor Opción de Movilidad Urbana: Tu Taiga TL te espera en Inverfin.","Encontrá todos los modelos de Taiga: TL 110, TL Maxi y más. ¡Consultá tu precio final!, Asesoramiento 100% Personalizado por WhatsApp. Te ayudamos a elegir y financiar., Stock garantizado en las principales ciudades de Paraguay. ¡Aprovechá la oferta de cuotas!, Los mejores beneficios de Inverfin en tu moto Taiga. ¡Te respondemos en minutos!",https://tpc.googlesyndication.com/simgad/15440342119791652810,https://tpc.googlesyndication.com/simgad/3424484253544639819, --,Promedio,Apta,MOTOS TAIGA,"motos, motocicletas, motos financiadas, motos en cuotas, financiar motos, cuotas para motos",USD,2.32,"638,034","277,779",43.54%,0.01,1481.26,"11,495.89",7.76,4.14%,"11,495.89",0.13
PAUSED,MOTOS TAIGA HOTSALE 2026,Pmax - Motos Taiga,"Taiga: Tu Próxima Moto Hoy, Consultá Precios por WhatsApp, Taiga TL 110 en Oferta PY, Motos Taiga: Promo en Hotsale, Comprá tu Moto en Inverfin, Todos los Modelos en Hotsale, Hotsale Precios Imperdibles, Todo en Motos Taiga, Taiga en Promo Hotsale, Date el gusto con Taiga, Te asesoramos","Motos Taiga. Precio y Financiación Exclusiva en Paraguay!, Consultá la Taiga TL 110 y TL Maxi: Stock y Asesoramiento Personal por WhatsApp., La Mejor Opción de Movilidad Urbana: Tu Taiga TL te espera en Inverfin., Descuentos de hasta 50% off en Hotsale y hasta 12 cuotas sin interés.","Encontrá todos los modelos de Taiga: TL 110, TL Maxi y más a precios increíbles., Asesoramiento 100% Personalizado por WhatsApp. Te ayudamos a elegir y financiar., Stock garantizado en las principales ciudades de Paraguay. ¡Aprovechá la oferta de cuotas!, Los mejores beneficios de Inverfin en tu moto Taiga. ¡Te respondemos en minutos!","https://tpc.googlesyndication.com/simgad/15440342119791652810, https://tpc.googlesyndication.com/simgad/8661408447299355594","https://tpc.googlesyndication.com/simgad/3424484253544639819, https://tpc.googlesyndication.com/simgad/11828034587447740550, https://tpc.googlesyndication.com/simgad/7203495006846005245","https://tpc.googlesyndication.com/simgad/147967155930632348, https://tpc.googlesyndication.com/simgad/12609086529878414252, https://tpc.googlesyndication.com/simgad/8248365945428708447",Promedio,Detenida,MOTOS TAIGA,"motos, motocicletas, motos financiadas, motos en cuotas, financiar motos, cuotas para motos",USD,2.65,"62,908","34,320",54.56%,0.00,166.51,931.80,5.60,2.72%,931.80,0.18
PAUSED,ELECTRO MARZO 2026,Pmax -  Electro,"Electro: Ahorrá en Inverfin, Electrodomésticos Ofertas, Electro Cocina en Promo, Ofertas Imperdibles, Inverfin Electro, Equipate en Inverfin, Inverfin Promos, Electro con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Ahorro en Electro y Tecnología","Comprá hoy y disfrutá todo el año., Precios Increíbles en Electro cocina y lavado y con hasta 12 cuotas sin interés., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras., Marcas destacadas en heladeras, cocinas, microondas, lavarropas y más. Aprovechá en promo., Financiación disponible. Paga cómodamente en cuotas.",https://tpc.googlesyndication.com/simgad/11658549908933903984,https://tpc.googlesyndication.com/simgad/9858772329385863237, --,Promedio,Detenida,Electro, --,USD,0.81,"13,359",435,3.26%,0.02,10.83,0.00,0.00,0.00%,0.00,0.00
