Informe de palabras clave de búsqueda
25 de mayo de 2026 - 1 de junio de 2026
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Código de moneda,CPV prom. de TrueView,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Clics,Porcentaje de conv.,Valor de conv.,Valor de conv./costo,Conversiones,Prom. CPC,Costo/conv.,Valor de conv. original
Detenido,[comprar moto 110],Concordancia exacta,Search - Motos Taiga,Taiga TL 125,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,[moto 110 paraguay],Concordancia exacta,Search - Motos Taiga,Taiga TL 125,Detenida,detenido,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,moto 125 precio,Concordancia amplia,Search - Motos Taiga,Taiga TL 125,Apta,,,USD,0,17.50,342,19,5.56%,0.31,5.98,19,53.71%,10.20,1.71,10.20,0.31,0.59,10.20
Habilitado,moto 125 paraguay,Concordancia amplia,Search - Motos Taiga,Taiga TL 125,Apta,,,USD,0,22.52,53,5,9.43%,0.24,1.19,5,20.00%,1.00,0.84,1.00,0.24,1.19,1.00
Detenido,[moto económica paraguay],Concordancia exacta,Search - Motos Taiga,Taiga TL 125,Detenida,detenido; publicación limitada,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Detenido,[taiga tl 125],Concordancia exacta,Search - Motos Taiga,Taiga TL 125,Detenida,detenido,https://inverfin.com.py/products/moto-taiga-tl-125-5-xpertclasica?_pos=3&_psq=taiga+tl+1&_ss=e&_v=1.0,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,moto taiga tl 125,Concordancia amplia,Search - Motos Taiga,Taiga TL 125,Apta,,,USD,0,10.16,34,2,5.88%,0.17,0.35,2,0.00%,0.00,0.00,0.00,0.17,0.00,0.00
Detenido,[moto 110 precio],Concordancia exacta,Search - Motos Taiga,Taiga TL 125,Detenida,detenido; baja calidad,,USD,0,0,0,0, --,0,0.00,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Habilitado,taiga 125,Concordancia amplia,Search - Motos Taiga,Taiga TL 125,Apta,,,USD,0,26.13,53,5,9.43%,0.28,1.38,5,48.24%,2.41,1.74,2.41,0.28,0.57,2.41
Habilitado,moto taiga 125,Concordancia amplia,Search - Motos Taiga,Taiga TL 125,Apta,,,USD,0,29.34,38,5,13.16%,0.22,1.12,5,20.00%,1.00,0.90,1.00,0.22,1.12,1.00
